weight,name,listeners
-0.03981328213676649,Queen,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.039520733369272865,Drake,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.03934942792005485,Charlie Brown Jr.,"['PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.03902857041454461,NUMBER GIRL,"['haimond', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.038769406944639186,FBC,"['Jackson_Joe', 'haimond', 'OsvaldoMusicas']"
-0.03875417101102433,The Beatles,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.03871701148328026,Basement,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.03866953436352451,AC/DC,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.038106351378520316,Black Sabbath,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-0.03738060708569915,Katy Perry,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.036473476159651394,Pearl Jam,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.036068606054473026,Frank Sinatra,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-0.03574314410085992,Scorpions,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.03573189187602914,My Dead Girlfriend,"['haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.03568893468306067,Evanescence,"['PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.0351552927629834,Jorge Ben,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.03507395980997974,Daft Punk,"['Jackson_Joe', 'suicidxbladxs', 'OsvaldoMusicas']"
-0.034818322218400186,Swans,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.03454259242526879,Duran Duran,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-0.03405560126721234,Death,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.034000828968144874,Antônio Carlos Jobim,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-0.033823122202615505,Raul Seixas,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-0.033537749720606226,Soundgarden,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
