weight,name,listeners
-82908,Meteora (Bonus Edition)/Linkin Park,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-81620,Duran Duran/Duran Duran,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-78400,MM..FOOD/MF DOOM,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-75816,In The Court Of The Crimson King (Expanded & Remastered Original Album Mix)/King Crimson,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-72930,Wish You Were Here/Pink Floyd,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs']"
-72912,Ditto/NewJeans,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-68640,Duke Ellington & John Coltrane/Duke Ellington,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs']"
-68432,"Everybody Else Is Doing It, So Why Can't We?/The Cranberries","['PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-66789,NewJeans 2nd EP 'Get Up'/NewJeans,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-66048,"""A Divina Comédia Ou Ando Meio Desligado""/Os Mutantes","['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-63600,Elis & Tom/Elis Regina,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-62976,Felicidade Instantânea/CPM 22,"['PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-59241,Superunknown (20th Anniversary)/Soundgarden,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1']"
-59096,SILENT HILL2 (Original Soundtrack)/Akira Yamaoka,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-57510,D>E>A>T>H>M>E>T>A>L/Panchiko,"['suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-55088,Life Is Killing Me/Type O Negative,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-55080,Dois/Legião Urbana,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-53628,To Pimp a Butterfly/Kendrick Lamar,"['Jackson_Joe', 'haimond', 'OsvaldoMusicas']"
-53040,Fallen/Evanescence,"['PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-52800,Eu não sou boa influência pra você/Seu Pereira e Coletivo 401,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-52731,Slippery When Wet/Bon Jovi,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-51084,Birds in the Trap Sing McKnight/Young Thug,"['Jackson_Joe', 'PbzSmith', 'haimond', 'OsvaldoMusicas']"
-50232,Meddle/Pink Floyd,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-49470,"O tudo, o nada e o mundo/zimbra","['haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-49392,Led Zeppelin IV (Deluxe Edition)/Led Zeppelin,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-48960,The Queen Is Dead/The Smiths,"['PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-48576,Late Registration/Kanye West,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-48256,Back in Black/AC/DC,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-46740,君のように生きれたら/宇宙ネコ子,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-45780,October Rust (Special Edition)/Type O Negative,"['haimond', 'suicidxbladxs', 'Marcelosgc1']"
-44204,ICARUS/BK,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-44091,Powerslave (2015 Remaster)/Iron Maiden,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1']"
-39856,Classical Current/Laurindo Almeida,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-39366,L'amica di mia madre (Colonna sonora originale del film)/Alberto Baldan Bembo,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-38016,Construção/Chico Buarque,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-37338,a sétima efervescência/Jupiter Apple,"['suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-35910,INDUSTRY BABY (feat. Jack Harlow)/Lil Nas X,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-33992,Die Lit/Playboi Carti,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs']"
-32812,Cry/Cigarettes After Sex,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs']"
-32542,Ohms/Deftones,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs']"
-30600,The Black Parade/My Chemical Romance,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-29700,ゼロコンマ、色とりどりの世界/MASS OF THE FERMENTING DREGS,"['Jackson_Joe', 'haimond', 'Marcelosgc1', 'OsvaldoMusicas']"
-29250,The Predator/Ice Cube,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-28272,Mr. Morale & the Big Steppers/Kendrick Lamar,"['Jackson_Joe', 'suicidxbladxs', 'OsvaldoMusicas']"
-28224,ランプ幻想/Lamp,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-27930,channel ORANGE/Frank Ocean,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-26781,No New World/MASS OF THE FERMENTING DREGS,"['haimond', 'Marcelosgc1', 'OsvaldoMusicas']"
-26624,SUPER REAL ME/Illit,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-26352,Ballads (Deluxe Edition - Rudy Van Gelder Remaster)/John Coltrane Quartet,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-25704,Hypnotize/System of a Down,"['PbzSmith', 'haimond', 'suicidxbladxs']"
-25500,Exagerado/Cazuza,"['PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-24750,French Exit/TV Girl,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-24576,My Beautiful Dark Twisted Fantasy/Kanye West,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-24388,OMOIDE IN MY HEAD 1 ~BEST & B-SIDES~/NUMBER GIRL,"['Jackson_Joe', 'haimond', 'Marcelosgc1', 'OsvaldoMusicas']"
-23380,Clube Da Esquina/Lô Borges,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-23120,Mignonne (Mastered by Bernie Grundman)/大貫妙子,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'Marcelosgc1']"
-23000,NewJeans 'Super Shy'/NewJeans,"['Jackson_Joe', 'haimond', 'OsvaldoMusicas']"
-22644,無罪モラトリアム/椎名林檎,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-22610,Alice in Chains/Alice in Chains,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-22320,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)/Post Malone,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-21924,1989 (Deluxe)/Taylor Swift,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-21216,O Papa É Pop/Engenheiros Do Hawaii,"['PbzSmith', 'suicidxbladxs', 'OsvaldoMusicas']"
-21114,Significant Other/Limp Bizkit,"['Jackson_Joe', 'haimond', 'suicidxbladxs']"
-20790,America/America,"['Jackson_Joe', 'PbzSmith', 'Marcelosgc1']"
-20672,Beloved! Paradise! Jazz!?/McKinley Dixon,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-19800,The Life of Pablo/Kanye West,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'OsvaldoMusicas']"
-19602,"Goblin/Tyler, the Creator","['Jackson_Joe', 'suicidxbladxs', 'OsvaldoMusicas']"
-18920,The Best of Sade/Sade,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
-18040,WE DON'T TRUST YOU/Future,"['Jackson_Joe', 'haimond', 'OsvaldoMusicas']"
-17010,Estandarte/Skank,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs']"
-16848,Taxi Driver/Bernard Herrmann,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs']"
-16464,Popular (Music from the HBO Original Series)/The Weeknd,"['Jackson_Joe', 'suicidxbladxs', 'OsvaldoMusicas']"
-16356,Odyssey/Home,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1']"
-16120,Mellon Collie and the Infinite Sadness (Deluxe Edition)/The Smashing Pumpkins,"['haimond', 'suicidxbladxs', 'Marcelosgc1']"
-15744,Dangerous/Michael Jackson,"['Jackson_Joe', 'PbzSmith', 'suicidxbladxs']"
-15456,Illmatic/Nas,"['Jackson_Joe', 'haimond', 'OsvaldoMusicas']"
-15400,From Zero/Linkin Park,"['Jackson_Joe', 'haimond', 'OsvaldoMusicas']"
-15336,Crystal Castles/Crystal Castles,"['Jackson_Joe', 'suicidxbladxs', 'Marcelosgc1']"
-15180,Siamese Dream (2011 - Remaster)/The Smashing Pumpkins,"['Jackson_Joe', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-14976,Imunidade Musical/Charlie Brown Jr.,"['PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1', 'OsvaldoMusicas']"
-14896,Songs From The Big Chair (Super Deluxe Edition)/Tears for Fears,"['Jackson_Joe', 'PbzSmith', 'haimond', 'suicidxbladxs', 'Marcelosgc1']"
